epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1562,1.8509,2.7293,2.21431,0.00333,1,0.32795,0.10341,1.63849,3.31491,2.58629,8e-05,8e-05,8e-05
2,10.6951,1.70912,2.65613,2.11315,0.00333,1,0.60488,0.16171,1.64224,3.22185,2.48956,0.000177773,0.000177773,0.000177773
3,11.1816,1.86564,2.62373,2.26331,0.00333,1,0.60536,0.19835,1.47278,3.20037,2.27692,0.00027307,0.00027307,0.00027307
4,11.7519,1.72926,2.17004,1.96759,0.00333,1,0.42071,0.18787,1.55395,3.25671,2.21496,0.000365893,0.000365893,0.000365893
5,12.2708,1.79751,2.16955,1.93587,0.00333,1,0.25514,0.08284,1.64319,3.33797,2.24727,0.00045624,0.00045624,0.00045624
6,12.7682,1.79696,2.00665,1.91426,0.00333,1,0.36188,0.11039,1.62517,3.30018,2.20141,0.000544113,0.000544113,0.000544113
7,13.283,1.76462,2.18744,1.9276,0.00333,1,0.58188,0.22579,1.75843,3.2007,2.68464,0.00062951,0.00062951,0.00062951
8,13.7801,1.60036,2.04269,1.78994,0.00333,1,0.67806,0.26464,1.84923,3.10991,2.66126,0.000712432,0.000712432,0.000712432
9,14.2669,1.61615,2.01144,1.78536,0.11953,0.7,0.47913,0.19534,2.09138,3.04181,2.88367,0.00079288,0.00079288,0.00079288
10,14.7664,1.69142,2.24839,1.92534,0.06484,0.7,0.2182,0.07815,2.15254,3.33484,2.97466,0.000870853,0.000870853,0.000870853
11,15.2384,1.67724,1.91451,1.85994,0.53227,0.4,0.33088,0.08826,2.00742,3.23467,2.87273,0.00094635,0.00094635,0.00094635
12,15.717,1.56909,1.85148,1.78057,0.53727,0.5,0.44214,0.11845,2.00991,3.18086,2.82291,0.00101937,0.00101937,0.00101937
13,16.2079,1.60783,2.09624,1.91011,0.35242,0.6,0.38459,0.09775,2.0893,3.33312,3.05969,0.00108992,0.00108992,0.00108992
14,16.6802,1.53674,1.90989,1.82624,0.35242,0.6,0.38459,0.09775,2.0893,3.33312,3.05969,0.00115799,0.00115799,0.00115799
15,17.1646,1.67943,2.0308,1.99024,0.36681,0.6,0.55929,0.12219,2.22685,3.13223,3.10264,0.00122359,0.00122359,0.00122359
16,17.6366,1.71689,1.98187,1.88757,0.41619,0.4,0.43791,0.13464,2.49909,3.09817,3.49961,0.00128671,0.00128671,0.00128671
17,18.1118,1.47289,1.83916,1.81756,0.36621,0.5,0.43689,0.18461,1.79029,2.84859,2.65659,0.00134736,0.00134736,0.00134736
18,18.5799,1.46305,1.80235,1.78884,0.36621,0.5,0.43689,0.18461,1.79029,2.84859,2.65659,0.00140553,0.00140553,0.00140553
19,19.0507,1.54256,1.83015,1.82806,0.38562,0.3,0.36851,0.11027,1.85525,2.98138,2.94848,0.00146123,0.00146123,0.00146123
20,19.521,1.62064,1.95259,1.80192,0.60385,0.4,0.41197,0.12693,2.23182,3.05635,2.91575,0.00151445,0.00151445,0.00151445
21,20.0022,1.62559,1.74269,1.8311,0.60385,0.4,0.41197,0.12693,2.23182,3.05635,2.91575,0.001505,0.001505,0.001505
22,20.4734,1.6493,1.7046,1.7656,0.13717,0.7,0.13647,0.03879,2.42509,3.16925,3.52242,0.00148025,0.00148025,0.00148025
23,20.9555,1.59256,1.83013,1.86288,0.10748,0.7,0.1095,0.03159,2.19558,4.03639,2.924,0.0014555,0.0014555,0.0014555
24,21.4041,1.62856,1.68479,1.78442,0.10748,0.7,0.1095,0.03159,2.19558,4.03639,2.924,0.00143075,0.00143075,0.00143075
25,21.8773,1.48291,1.70425,1.71099,0.28765,0.6,0.28846,0.08365,1.97693,3.36066,2.70353,0.001406,0.001406,0.001406
26,22.3314,1.5154,1.5436,1.67435,0.28765,0.6,0.28846,0.08365,1.97693,3.36066,2.70353,0.00138125,0.00138125,0.00138125
27,22.7916,1.59651,1.76083,1.83918,0.20602,0.7,0.18396,0.07108,2.34951,3.78391,3.0915,0.0013565,0.0013565,0.0013565
28,23.2505,1.46655,1.67059,1.769,0.2702,0.6,0.23179,0.09415,2.1803,3.60555,2.968,0.00133175,0.00133175,0.00133175
