epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81537,2.07456,3.76437,3.20652,0.00333,1,0.34556,0.13095,1.72954,3.20226,2.75181,8e-05,8e-05,8e-05
2,5.39129,1.8827,3.39149,2.82347,0.00333,1,0.52999,0.21511,1.65565,3.30482,2.46682,0.000177773,0.000177773,0.000177773
3,5.90129,1.71234,3.01616,2.42449,0.00333,1,0.76038,0.29097,1.81201,3.27757,2.52268,0.00027307,0.00027307,0.00027307
4,6.44855,1.47966,2.64222,2.16644,0.00333,1,0.64452,0.22681,1.89321,3.38354,2.61217,0.000365893,0.000365893,0.000365893
5,6.97311,1.32924,2.50016,1.91111,0.00333,1,0.53175,0.18651,1.84703,3.45306,2.56388,0.00045624,0.00045624,0.00045624
6,7.46784,1.11839,2.24918,1.72991,0.00333,1,0.72823,0.29607,1.82512,3.19253,2.76091,0.000544113,0.000544113,0.000544113
7,8.01195,1.14015,2.12224,1.73691,0.10092,1,0.4907,0.12591,2.15681,3.33058,3.21476,0.00062951,0.00062951,0.00062951
8,8.53995,1.03911,1.97543,1.58991,0.10515,0.9,0.44488,0.15315,1.94871,3.29564,2.97868,0.000712432,0.000712432,0.000712432
9,9.04873,1.0922,1.93087,1.66282,0.33393,1,0.663,0.21182,1.88377,3.32289,2.81514,0.00079288,0.00079288,0.00079288
10,9.51509,1.0165,1.89794,1.62056,0.54941,0.5,0.44012,0.1635,1.99515,3.35836,3.21083,0.000870853,0.000870853,0.000870853
11,9.9745,1.09338,1.78123,1.65601,0.75263,0.5,0.73643,0.23878,1.90027,3.1607,2.75668,0.00094635,0.00094635,0.00094635
12,10.4412,0.92484,1.7176,1.46035,0.85259,0.58087,0.83001,0.24723,1.88242,3.03092,3.10933,0.00101937,0.00101937,0.00101937
13,10.885,0.81487,1.65031,1.33496,0.73874,0.7,0.76026,0.26366,1.99212,2.93368,3.35903,0.00108992,0.00108992,0.00108992
14,11.3363,0.81786,1.5901,1.37571,0.73874,0.7,0.76026,0.26366,1.99212,2.93368,3.35903,0.00115799,0.00115799,0.00115799
15,11.7929,0.77526,1.49893,1.33763,0.7792,0.8,0.69724,0.17554,2.43559,2.91935,4.2399,0.00122359,0.00122359,0.00122359
16,12.2578,0.74041,1.47899,1.27931,0.64667,0.6,0.56233,0.17573,2.49569,3.154,4.81071,0.00128671,0.00128671,0.00128671
17,12.7177,0.74012,1.44737,1.27373,0.69269,0.7,0.63323,0.16252,2.46277,3.1188,4.81653,0.00134736,0.00134736,0.00134736
18,13.2513,0.76159,1.42261,1.28297,0.69269,0.7,0.63323,0.16252,2.46277,3.1188,4.81653,0.00140553,0.00140553,0.00140553
19,13.686,0.75138,1.37983,1.31173,0.51776,0.6,0.51441,0.15725,2.47406,3.26448,5.08445,0.00146123,0.00146123,0.00146123
20,14.1233,0.7542,1.37842,1.27914,0.56626,0.6,0.63739,0.17825,2.29641,2.60168,4.48947,0.00151445,0.00151445,0.00151445
21,14.5643,0.77233,1.43682,1.30925,0.56626,0.6,0.63739,0.17825,2.29641,2.60168,4.48947,0.001505,0.001505,0.001505
22,15.0178,0.76332,1.35741,1.29872,0.6973,0.7,0.67437,0.1538,2.7806,2.51898,6.22521,0.00148025,0.00148025,0.00148025
23,15.4594,0.8027,1.34953,1.3652,0.8547,0.7,0.71964,0.20877,2.30102,2.51285,4.12409,0.0014555,0.0014555,0.0014555
24,15.8867,0.7185,1.28902,1.24915,0.8547,0.7,0.71964,0.20877,2.30102,2.51285,4.12409,0.00143075,0.00143075,0.00143075
25,16.3318,0.71284,1.33541,1.25607,0.75749,0.7,0.6507,0.24777,2.18877,2.01236,3.48394,0.001406,0.001406,0.001406
26,16.7608,0.68061,1.28852,1.19584,0.75749,0.7,0.6507,0.24777,2.18877,2.01236,3.48394,0.00138125,0.00138125,0.00138125
27,17.2338,0.67119,1.24724,1.21768,0.77624,0.69445,0.70804,0.20721,2.4402,2.0246,3.89336,0.0013565,0.0013565,0.0013565
28,17.7112,0.68307,1.27479,1.18228,0.58865,0.6,0.57511,0.19197,2.46008,2.14639,4.03588,0.00133175,0.00133175,0.00133175
29,18.1593,0.64566,1.21057,1.16977,0.58865,0.6,0.57511,0.19197,2.46008,2.14639,4.03588,0.001307,0.001307,0.001307
30,18.6355,0.68533,1.17601,1.17552,0.60525,0.7,0.61581,0.22049,2.25731,1.83758,3.83642,0.00128225,0.00128225,0.00128225
31,19.0934,0.60997,1.13994,1.12194,0.76785,0.8,0.74378,0.21145,2.37053,1.90811,4.17142,0.0012575,0.0012575,0.0012575
32,19.531,0.56108,1.10116,1.09867,0.76785,0.8,0.74378,0.21145,2.37053,1.90811,4.17142,0.00123275,0.00123275,0.00123275
33,20.0093,0.55525,1.0669,1.06271,0.73639,0.9,0.6999,0.22088,2.41555,1.63999,4.42977,0.001208,0.001208,0.001208
34,20.5181,0.56171,1.07567,1.09552,0.73639,0.9,0.6999,0.22088,2.41555,1.63999,4.42977,0.00118325,0.00118325,0.00118325
35,21.0122,0.52864,1.05964,1.04299,0.74985,0.89934,0.79663,0.23166,2.33535,1.62377,4.27982,0.0011585,0.0011585,0.0011585
36,21.4841,0.49533,1.00487,1.02448,0.88862,0.79809,0.86701,0.26532,2.28289,1.65357,4.0559,0.00113375,0.00113375,0.00113375
37,21.9514,0.54473,1.03123,1.12772,0.88862,0.79809,0.86701,0.26532,2.28289,1.65357,4.0559,0.001109,0.001109,0.001109
38,22.4075,0.54594,0.99111,1.06552,0.8983,0.88467,0.96833,0.2638,2.29717,1.69346,4.19794,0.00108425,0.00108425,0.00108425
39,22.9089,0.46538,0.96715,0.99721,0.85705,0.8,0.82333,0.25585,2.14784,1.70642,4.17671,0.0010595,0.0010595,0.0010595
40,23.3688,0.50937,0.95532,1.03628,0.85705,0.8,0.82333,0.25585,2.14784,1.70642,4.17671,0.00103475,0.00103475,0.00103475
41,23.8165,0.46531,0.93993,1.01213,0.73415,0.7,0.78552,0.23314,2.30163,1.69537,4.05856,0.00101,0.00101,0.00101
42,24.3641,0.49539,0.95555,1.0091,0.73415,0.7,0.78552,0.23314,2.30163,1.69537,4.05856,0.00098525,0.00098525,0.00098525
43,24.8204,0.4699,0.95381,1.02306,0.72914,0.80819,0.84627,0.23443,2.29634,1.60253,4.32799,0.0009605,0.0009605,0.0009605
44,25.2707,0.44643,0.90938,0.99455,0.89845,0.88605,0.90254,0.29235,2.1589,1.64747,4.14372,0.00093575,0.00093575,0.00093575
45,25.7115,0.45855,0.90963,1.0051,0.89845,0.88605,0.90254,0.29235,2.1589,1.64747,4.14372,0.000911,0.000911,0.000911
46,26.1655,0.46481,0.89834,0.98384,0.88757,0.8,0.86389,0.30487,2.14361,1.72481,4.22751,0.00088625,0.00088625,0.00088625
47,26.6296,0.4145,0.84248,0.95621,0.80447,0.9,0.83891,0.31012,2.01941,1.84477,3.97866,0.0008615,0.0008615,0.0008615
48,27.0739,0.43549,0.84465,0.96372,0.80447,0.9,0.83891,0.31012,2.01941,1.84477,3.97866,0.00083675,0.00083675,0.00083675
49,27.5341,0.43514,0.83975,1.0087,0.74955,0.89803,0.81153,0.29333,2.12545,1.68797,4.22334,0.000812,0.000812,0.000812
50,27.9845,0.38185,0.81361,0.90988,0.74955,0.89803,0.81153,0.29333,2.12545,1.68797,4.22334,0.00078725,0.00078725,0.00078725
51,28.4387,0.38587,0.79859,0.92042,0.80788,0.9,0.80618,0.29404,2.2256,1.54375,4.45599,0.0007625,0.0007625,0.0007625
52,28.9146,0.40922,0.81018,0.95276,0.80411,0.9,0.82438,0.32217,2.18033,1.6128,4.51071,0.00073775,0.00073775,0.00073775
53,29.3702,0.44924,0.81144,0.97164,0.80411,0.9,0.82438,0.32217,2.18033,1.6128,4.51071,0.000713,0.000713,0.000713
54,29.8343,0.41129,0.81078,0.97335,0.89833,0.88494,0.84908,0.32247,2.21769,1.48206,4.48126,0.00068825,0.00068825,0.00068825
55,30.3442,0.39561,0.79342,0.91221,0.88966,0.9,0.83757,0.28201,2.30945,1.52054,4.69635,0.0006635,0.0006635,0.0006635
56,30.8146,0.42027,0.8224,0.97727,0.88966,0.9,0.83757,0.28201,2.30945,1.52054,4.69635,0.00063875,0.00063875,0.00063875
57,31.3004,0.40583,0.80407,0.92135,0.88985,0.9,0.83708,0.26338,2.37394,1.51384,4.8907,0.000614,0.000614,0.000614
58,31.7678,0.38133,0.77459,0.94721,0.88985,0.9,0.83708,0.26338,2.37394,1.51384,4.8907,0.00058925,0.00058925,0.00058925
59,32.2706,0.41633,0.75361,0.9814,0.88151,0.9,0.83726,0.27347,2.35011,1.48428,4.86303,0.0005645,0.0005645,0.0005645
60,32.7479,0.36383,0.75568,0.88478,0.84061,0.9,0.83702,0.27737,2.36593,1.42654,4.88692,0.00053975,0.00053975,0.00053975
61,33.1893,0.3901,0.74269,0.93385,0.84061,0.9,0.83702,0.27737,2.36593,1.42654,4.88692,0.000515,0.000515,0.000515
62,33.6871,0.36835,0.75661,0.93617,0.8661,0.9,0.84908,0.28328,2.38867,1.40492,4.85758,0.00049025,0.00049025,0.00049025
63,34.1388,0.33761,0.72498,0.90321,0.89075,0.9,0.8319,0.30255,2.41832,1.35838,4.7651,0.0004655,0.0004655,0.0004655
64,34.5939,0.34637,0.73227,0.86156,0.89075,0.9,0.8319,0.30255,2.41832,1.35838,4.7651,0.00044075,0.00044075,0.00044075
65,35.1665,0.33629,0.6994,0.88396,0.88152,0.9,0.86346,0.30246,2.349,1.3718,4.48914,0.000416,0.000416,0.000416
66,35.6105,0.31302,0.71307,0.906,0.88152,0.9,0.86346,0.30246,2.349,1.3718,4.48914,0.00039125,0.00039125,0.00039125
67,36.062,0.29951,0.69548,0.88659,0.8817,0.9,0.86204,0.3116,2.28577,1.39454,4.28654,0.0003665,0.0003665,0.0003665
68,36.5136,0.30594,0.67683,0.90455,0.89705,0.87343,0.82691,0.31926,2.27629,1.34302,4.25105,0.00034175,0.00034175,0.00034175
