epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10219,0.68862,2.5072,1.15933,0.00333,1,0.3475,0.18042,1.08282,3.00136,1.71687,0,0,0
2,4.3623,1.18655,2.67095,1.58069,0.00333,1,0.31893,0.165,1.10028,3.00472,1.74092,1.9802e-05,1.9802e-05,1.9802e-05
3,4.55857,0.97355,2.58018,1.34916,0.00333,1,0.30632,0.15584,1.11254,3.0226,1.75378,3.9208e-05,3.9208e-05,3.9208e-05
4,4.74785,0.99263,2.68621,1.21299,0.00333,1,0.31893,0.14657,1.0689,3.08395,1.68573,5.8218e-05,5.8218e-05,5.8218e-05
5,4.93682,1.05962,2.56846,1.48786,0.00333,1,0.31893,0.14657,1.0689,3.08395,1.68573,7.6832e-05,7.6832e-05,7.6832e-05
6,5.16778,1.00716,2.60274,1.47643,0.00333,1,0.16375,0.13538,0.97999,2.98271,1.58168,9.505e-05,9.505e-05,9.505e-05
7,5.41992,0.76978,2.56475,1.34036,0.00333,1,0.16375,0.13538,0.97999,2.98271,1.58168,0.000112872,0.000112872,0.000112872
8,5.70031,0.93567,2.4592,1.21738,0.00333,1,0.53071,0.46336,0.90217,2.97208,1.37079,0.000130298,0.000130298,0.000130298
9,6.00538,0.7366,2.76614,1.56797,0.00333,1,0.53071,0.46336,0.90217,2.97208,1.37079,0.000147328,0.000147328,0.000147328
10,6.29802,0.76424,2.39392,1.13267,0.00333,1,0.54262,0.42933,0.90544,2.96545,1.30341,0.000163962,0.000163962,0.000163962
11,6.57247,0.71573,2.3824,1.27624,0.00333,1,0.54262,0.42933,0.90544,2.96545,1.30341,0.0001802,0.0001802,0.0001802
12,6.84344,0.6052,2.21844,1.07273,0.00333,1,0.54262,0.42933,0.90544,2.96545,1.30341,0.000196042,0.000196042,0.000196042
13,7.11026,0.61279,2.29528,1.19073,0.00333,1,0.54045,0.43236,0.60206,2.90816,1.11753,0.000211488,0.000211488,0.000211488
14,7.37015,0.6606,2.24511,1.25298,0.00333,1,0.54045,0.43236,0.60206,2.90816,1.11753,0.000226538,0.000226538,0.000226538
15,7.62368,0.73928,1.88811,1.14987,0.00333,1,0.54045,0.43236,0.60206,2.90816,1.11753,0.000241192,0.000241192,0.000241192
16,7.92094,1.10126,2.4221,1.76773,0.00333,1,0.53848,0.43078,0.55126,2.92239,1.10242,0.00025545,0.00025545,0.00025545
17,8.20712,0.95342,2.31175,1.31201,0.00333,1,0.53848,0.43078,0.55126,2.92239,1.10242,0.000269312,0.000269312,0.000269312
18,8.48635,0.85292,2.21684,1.30776,0.00333,1,0.53848,0.43078,0.55126,2.92239,1.10242,0.000282778,0.000282778,0.000282778
19,8.74378,0.99344,2.49323,1.80817,0.00333,1,0.53848,0.43078,0.55126,2.92239,1.10242,0.000295848,0.000295848,0.000295848
20,9.01055,0.77118,2.37093,1.21891,0.00333,1,0.60611,0.39704,0.51225,2.87604,1.02421,0.000308522,0.000308522,0.000308522
21,9.27603,0.68697,1.90735,1.22234,0.00333,1,0.60611,0.39704,0.51225,2.87604,1.02421,0.0003208,0.0003208,0.0003208
22,9.55327,0.66317,1.79919,1.26911,0.00333,1,0.60611,0.39704,0.51225,2.87604,1.02421,0.000332682,0.000332682,0.000332682
23,9.81537,0.82062,2.15341,1.44067,0.00333,1,0.60611,0.39704,0.51225,2.87604,1.02421,0.000344168,0.000344168,0.000344168
24,10.0786,0.50804,2.11169,1.12867,0.00333,1,0.66167,0.34358,0.69342,2.98423,1.14283,0.000355258,0.000355258,0.000355258
25,10.3519,0.60507,1.53384,1.03039,0.00333,1,0.66167,0.34358,0.69342,2.98423,1.14283,0.000365952,0.000365952,0.000365952
26,10.6423,0.64576,1.59039,1.18913,0.00333,1,0.66167,0.34358,0.69342,2.98423,1.14283,0.00037625,0.00037625,0.00037625
27,10.8983,0.47414,1.51965,1.0607,0.00333,1,0.66167,0.34358,0.69342,2.98423,1.14283,0.000386152,0.000386152,0.000386152
28,11.1847,0.55428,1.79847,1.3316,0.00333,1,0.66167,0.34358,0.69342,2.98423,1.14283,0.000395658,0.000395658,0.000395658
29,11.4525,0.66368,1.65316,1.21612,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.000404768,0.000404768,0.000404768
30,11.7166,0.51905,1.51636,1.25051,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.000413482,0.000413482,0.000413482
31,11.9797,0.70844,1.75232,1.08556,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.0004218,0.0004218,0.0004218
32,12.2417,0.4353,1.45719,1.20736,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.000429722,0.000429722,0.000429722
33,12.5067,0.5398,1.3278,0.99811,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.000437248,0.000437248,0.000437248
34,12.759,0.6192,1.25336,1.15845,0.00333,1,0.50471,0.153,1.944,3.91122,2.65295,0.000444378,0.000444378,0.000444378
35,13.039,0.69244,1.52343,1.21129,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.000451112,0.000451112,0.000451112
36,13.2928,0.52487,1.14488,1.08651,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.00045745,0.00045745,0.00045745
37,13.5577,0.56466,1.11444,1.11491,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.000463392,0.000463392,0.000463392
38,13.8236,0.48111,1.07956,1.09743,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.000468938,0.000468938,0.000468938
39,14.0845,0.42364,1.34351,1.03131,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.000474088,0.000474088,0.000474088
40,14.3517,0.58415,1.38081,1.0754,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.000478842,0.000478842,0.000478842
41,14.6301,0.43425,1.60965,1.01923,0.00333,1,0.51015,0.21041,1.86652,3.64489,2.27933,0.0004832,0.0004832,0.0004832
42,14.9061,0.41953,1.3696,1.14657,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000487162,0.000487162,0.000487162
43,15.1736,0.4321,0.97279,0.94123,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000490728,0.000490728,0.000490728
44,15.4367,0.67879,1.48595,1.48709,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000493898,0.000493898,0.000493898
45,15.7008,0.46254,1.18422,1.04914,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000496672,0.000496672,0.000496672
46,15.9936,0.62636,1.34419,1.16418,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.00049905,0.00049905,0.00049905
47,16.2792,0.41393,1.00562,1.11409,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000501032,0.000501032,0.000501032
48,16.5481,0.50546,1.92316,0.97292,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000502618,0.000502618,0.000502618
49,16.8145,0.38526,1.12344,1.02317,0.00333,1,0.56643,0.21604,1.58819,3.56138,2.23809,0.000503808,0.000503808,0.000503808
50,17.0958,0.47832,1.14088,0.94808,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000504602,0.000504602,0.000504602
51,17.369,0.50191,0.93836,0.99673,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000505,0.000505,0.000505
52,17.6301,0.63453,1.78875,1.03611,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000505002,0.000505002,0.000505002
53,17.9113,0.34826,0.90359,0.9534,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000504608,0.000504608,0.000504608
54,18.1704,0.48486,1.2273,1.0984,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000503818,0.000503818,0.000503818
55,18.4458,0.58685,1.28121,1.10902,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000502632,0.000502632,0.000502632
56,18.7165,0.54412,1.95454,1.33577,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.00050105,0.00050105,0.00050105
57,18.9931,0.42623,0.96533,1.06755,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000499072,0.000499072,0.000499072
58,19.2916,0.35414,0.88789,0.93257,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000496698,0.000496698,0.000496698
59,19.5551,0.62162,1.38064,1.08203,0.00333,1,0.54763,0.22713,1.27121,3.57817,1.9109,0.000493928,0.000493928,0.000493928
60,19.8496,0.53645,1.07863,1.09814,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000490762,0.000490762,0.000490762
61,20.1664,0.3037,0.92286,0.94656,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.0004872,0.0004872,0.0004872
62,20.4707,0.50785,0.97576,0.96695,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000483242,0.000483242,0.000483242
63,20.7885,0.53364,1.08782,1.05471,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000478888,0.000478888,0.000478888
64,21.0519,0.56915,2.17969,1.30145,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000474138,0.000474138,0.000474138
65,21.339,0.49689,1.4936,0.97896,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000468992,0.000468992,0.000468992
66,21.6172,0.48075,1.0239,1.03527,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.00046345,0.00046345,0.00046345
67,21.9239,0.35616,1.29175,0.92429,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000457512,0.000457512,0.000457512
68,22.2115,0.5054,1.42245,1.04047,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000451178,0.000451178,0.000451178
69,22.4802,0.71633,1.7194,1.29202,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000444448,0.000444448,0.000444448
70,22.7441,0.42182,1.11099,0.97093,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.000437322,0.000437322,0.000437322
71,23.006,0.40061,0.96151,0.94132,0.00333,1,0.62,0.25468,1.87886,3.49988,2.22103,0.0004298,0.0004298,0.0004298
72,23.2906,0.45023,0.92496,1.02666,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000421882,0.000421882,0.000421882
73,23.5562,0.61775,1.18763,1.13514,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000413568,0.000413568,0.000413568
74,23.8258,0.47575,0.94543,1.03223,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000404858,0.000404858,0.000404858
75,24.1343,0.41862,1.03958,0.9115,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000395752,0.000395752,0.000395752
76,24.4374,0.48679,1.07147,0.97337,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.00038625,0.00038625,0.00038625
77,24.6935,0.62577,1.3616,1.30505,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000376352,0.000376352,0.000376352
78,24.9507,0.56934,1.1908,1.05548,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000366058,0.000366058,0.000366058
79,25.2194,0.39349,0.98331,0.90343,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000355368,0.000355368,0.000355368
80,25.4986,0.59795,1.15636,1.09422,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000344282,0.000344282,0.000344282
81,25.7654,0.47586,0.97713,0.96936,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.0003328,0.0003328,0.0003328
82,26.0399,0.51667,1.32124,1.18739,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000320922,0.000320922,0.000320922
83,26.3136,0.50617,1.01331,0.94901,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000308648,0.000308648,0.000308648
84,26.6131,0.38787,0.91728,0.99581,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000295978,0.000295978,0.000295978
85,26.9191,0.30123,1.01837,0.9694,0.43641,0.5,0.35861,0.16102,2.20516,2.99851,3.44674,0.000282912,0.000282912,0.000282912
86,27.2176,0.56608,1.16213,1.23383,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.00026945,0.00026945,0.00026945
87,27.5011,0.25513,0.85757,0.91256,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000255592,0.000255592,0.000255592
88,27.7752,0.43008,1.16801,1.18486,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000241338,0.000241338,0.000241338
89,28.0496,0.36756,1.00921,1.04691,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000226688,0.000226688,0.000226688
90,28.3142,0.28592,0.84755,0.9296,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000211642,0.000211642,0.000211642
91,32.36,0.2522,1.46935,0.84668,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.0001962,0.0001962,0.0001962
92,32.7656,0.39062,1.75895,0.98784,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000180362,0.000180362,0.000180362
93,33.0457,0.31575,1.35012,0.79518,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000164128,0.000164128,0.000164128
94,33.3626,0.31923,1.47469,0.87385,0.44969,0.5,0.4475,0.27205,1.63348,2.6011,2.54728,0.000147498,0.000147498,0.000147498
