epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05356,1.7961,2.94748,2.084,0.00333,1,0.1675,0.08983,0.88396,3.00092,1.53922,8e-05,8e-05,8e-05
2,2.58652,1.41967,2.75295,1.9071,0.00333,1,0.48389,0.31104,0.89638,3.01355,1.70247,0.000176436,0.000176436,0.000176436
3,3.06253,1.36448,2.66397,1.89393,0.00333,1,0.46668,0.27176,0.83561,3.07705,1.73221,0.000268912,0.000268912,0.000268912
4,3.58925,1.46338,2.67204,1.83284,0.00333,1,0.52267,0.30737,0.91165,3.12562,1.76661,0.000357428,0.000357428,0.000357428
5,4.06656,1.39359,2.67351,1.86135,0.00333,1,0.54806,0.29567,0.92933,3.19088,1.76763,0.000441984,0.000441984,0.000441984
6,4.5404,1.43996,2.50819,1.80421,0.00267,0.8,0.44402,0.16238,1.10592,3.23713,1.82751,0.00052258,0.00052258,0.00052258
7,5.03812,1.30047,2.43697,1.65499,0.00333,1,0.35021,0.12082,1.30756,3.18836,2.02167,0.000599216,0.000599216,0.000599216
8,5.51166,1.32237,2.26388,1.69614,0.00333,1,0.35021,0.12082,1.30756,3.18836,2.02167,0.000671892,0.000671892,0.000671892
9,5.93909,1.41311,2.46037,1.77375,0.00333,1,0.25346,0.09423,1.36029,3.19688,1.91913,0.000740608,0.000740608,0.000740608
10,6.39317,1.44489,2.38498,1.7676,0.00333,1,0.1497,0.04665,1.43801,3.40257,2.01414,0.000805364,0.000805364,0.000805364
11,6.81931,1.46753,2.68309,1.87844,0.00333,1,0.1497,0.04665,1.43801,3.40257,2.01414,0.00086616,0.00086616,0.00086616
12,7.26965,1.29844,2.32722,1.66047,0.00333,1,0.27029,0.05954,2.32744,3.57554,2.73459,0.000922996,0.000922996,0.000922996
