source_dataset,source_split,split,source_image,image,label
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_001_1.jpg,images/train/composite_v2__train__bangle_comp_001_1.jpg,labels/train/composite_v2__train__bangle_comp_001_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_001_2.jpg,images/train/composite_v2__train__bangle_comp_001_2.jpg,labels/train/composite_v2__train__bangle_comp_001_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_002_1.jpg,images/train/composite_v2__train__bangle_comp_002_1.jpg,labels/train/composite_v2__train__bangle_comp_002_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_002_2.jpg,images/train/composite_v2__train__bangle_comp_002_2.jpg,labels/train/composite_v2__train__bangle_comp_002_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_005_1.jpg,images/train/composite_v2__train__bangle_comp_005_1.jpg,labels/train/composite_v2__train__bangle_comp_005_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_005_2.jpg,images/train/composite_v2__train__bangle_comp_005_2.jpg,labels/train/composite_v2__train__bangle_comp_005_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_006_1.jpg,images/train/composite_v2__train__bangle_comp_006_1.jpg,labels/train/composite_v2__train__bangle_comp_006_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_006_2.jpg,images/train/composite_v2__train__bangle_comp_006_2.jpg,labels/train/composite_v2__train__bangle_comp_006_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_009_1.jpg,images/train/composite_v2__train__bangle_comp_009_1.jpg,labels/train/composite_v2__train__bangle_comp_009_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_009_2.jpg,images/train/composite_v2__train__bangle_comp_009_2.jpg,labels/train/composite_v2__train__bangle_comp_009_2.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_010_1.jpg,images/train/composite_v2__train__bangle_comp_010_1.jpg,labels/train/composite_v2__train__bangle_comp_010_1.txt
composite_v2,train,train,data/jade_bangle_composite_200_v2/images/train/bangle_comp_010_2.jpg,images/train/composite_v2__train__bangle_comp_010_2.jpg,labels/train/composite_v2__train__bangle_comp_010_2.txt
