id,split,source,source_index,variant,color,quality_score,visible_fraction,angle,blur,hand_occlusion,detection_overlay,bbox_xyxy,yolo_label,image,label,overlay
bangle_comp_001_1,train,bangle_gpt_001.png,1,1,lavender_purple,79.527,1.0,-28.746,0.0,none,red_orange,"[181, 634, 589, 936]",0 0.381944 0.438058 0.404762 0.168527,images/train/bangle_comp_001_1.jpg,labels/train/bangle_comp_001_1.txt,qa/overlays/train/bangle_comp_001_1.jpg
bangle_comp_001_2,train,bangle_gpt_001.png,1,2,black_ink,77.317,1.0,21.195,0.0,none,red_orange,"[328, 877, 656, 1080]",0 0.488095 0.546038 0.325397 0.113281,images/train/bangle_comp_001_2.jpg,labels/train/bangle_comp_001_2.txt,qa/overlays/train/bangle_comp_001_2.jpg
bangle_comp_002_1,train,bangle_gpt_002.png,2,1,icy_white,75.545,0.8623,30.94,0.0,left,none,"[442, 784, 827, 1103]",0 0.629464 0.526507 0.381944 0.178013,images/train/bangle_comp_002_1.jpg,labels/train/bangle_comp_002_1.txt,qa/overlays/train/bangle_comp_002_1.jpg
bangle_comp_002_2,train,bangle_gpt_002.png,2,2,blue_water,78.54,1.0,-20.26,0.716,none,red_orange,"[221, 670, 642, 970]",0 0.428075 0.457589 0.417659 0.167411,images/train/bangle_comp_002_2.jpg,labels/train/bangle_comp_002_2.txt,qa/overlays/train/bangle_comp_002_2.jpg
bangle_comp_003_1,test,bangle_gpt_003.png,3,1,bean_green,90.19,1.0,29.744,0.0,none,none,"[245, 640, 728, 1024]",0 0.482639 0.464286 0.479167 0.214286,images/test/bangle_comp_003_1.jpg,labels/test/bangle_comp_003_1.txt,qa/overlays/test/bangle_comp_003_1.jpg
bangle_comp_003_2,test,bangle_gpt_003.png,3,2,dark_green,84.385,1.0,12.631,1.155,left,red_orange,"[157, 550, 740, 947]",0 0.444940 0.417690 0.578373 0.221540,images/test/bangle_comp_003_2.jpg,labels/test/bangle_comp_003_2.txt,qa/overlays/test/bangle_comp_003_2.jpg
bangle_comp_004_1,test,bangle_gpt_004.png,4,1,white_green_flower,94.683,1.0,1.384,0.0,none,none,"[235, 834, 820, 1134]",0 0.523313 0.549107 0.580357 0.167411,images/test/bangle_comp_004_1.jpg,labels/test/bangle_comp_004_1.txt,qa/overlays/test/bangle_comp_004_1.jpg
bangle_comp_004_2,test,bangle_gpt_004.png,4,2,apple_green,80.647,1.0,0.464,0.0,none,red_orange,"[147, 943, 583, 1152]",0 0.362103 0.584542 0.432540 0.116629,images/test/bangle_comp_004_2.jpg,labels/test/bangle_comp_004_2.txt,qa/overlays/test/bangle_comp_004_2.jpg
bangle_comp_005_1,train,bangle_gpt_005.png,5,1,imperial_green,66.401,1.0,18.0,1.222,none,red_orange,"[250, 1013, 564, 1203]",0 0.403770 0.618304 0.311508 0.106027,images/train/bangle_comp_005_1.jpg,labels/train/bangle_comp_005_1.txt,qa/overlays/train/bangle_comp_005_1.jpg
bangle_comp_005_2,train,bangle_gpt_005.png,5,2,yellow_honey,68.766,1.0,14.661,0.901,left,none,"[207, 654, 527, 866]",0 0.364087 0.424107 0.317460 0.118304,images/train/bangle_comp_005_2.jpg,labels/train/bangle_comp_005_2.txt,qa/overlays/train/bangle_comp_005_2.jpg
