split,image,label,source_sample,source_image,source_kind,source_confidence,bbox_xyxy,bbox_yolo,angle,scale_x,scale_y,shear,tx,ty
train,images/train/low_conf_typical_01_01.jpg,labels/train/low_conf_typical_01_01.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"16.09,138.39,405.60,673.97",0 0.457363 0.396658 0.844921 0.523027,-0.547,1.0345,1.0553,1.3532,4.0622,4.9419
train,images/train/low_conf_typical_01_02.jpg,labels/train/low_conf_typical_01_02.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,120.93,393.78,681.22",0 0.427090 0.391678 0.854181 0.547161,-5.3578,1.0644,1.0414,-1.9484,-15.7905,-3.4484
train,images/train/low_conf_typical_01_03.jpg,labels/train/low_conf_typical_01_03.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"36.86,176.58,400.70,665.43",0 0.474576 0.411137 0.789252 0.477398,1.2889,0.9589,0.9529,3.576,10.8566,9.757
train,images/train/low_conf_typical_01_04.jpg,labels/train/low_conf_typical_01_04.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"30.08,165.22,396.07,669.38",0 0.462196 0.407516 0.793911 0.492343,2.4177,0.9996,0.9682,3.2335,3.3704,8.0958
train,images/train/low_conf_typical_01_05.jpg,labels/train/low_conf_typical_01_05.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"5.78,137.42,429.95,669.14",0 0.472601 0.393828 0.920111 0.519257,-1.6178,1.0628,1.0349,3.0218,16.7638,-0.6594
train,images/train/low_conf_typical_01_06.jpg,labels/train/low_conf_typical_01_06.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"53.66,118.79,408.85,678.28",0 0.501636 0.389190 0.770480 0.546376,-3.438,0.9811,1.0652,-3.7733,19.0665,-2.3368
train,images/train/low_conf_typical_01_07.jpg,labels/train/low_conf_typical_01_07.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,156.40,408.09,688.91",0 0.442613 0.412750 0.885226 0.520033,-5.2569,0.9998,0.9995,2.9026,-2.9523,13.0709
train,images/train/low_conf_typical_01_08.jpg,labels/train/low_conf_typical_01_08.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,158.55,406.46,648.93",0 0.440845 0.394276 0.881691 0.478887,-2.7647,1.0139,0.9417,3.885,-2.5225,-10.6056
train,images/train/low_conf_typical_01_09.jpg,labels/train/low_conf_typical_01_09.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"0.00,124.63,435.47,645.22",0 0.472310 0.375902 0.944620 0.508393,-3.8283,1.0644,0.9873,2.9814,17.426,-25.2094
val,images/val/low_conf_typical_01_10.jpg,labels/val/low_conf_typical_01_10.txt,1,D:\JLAO\uploads\frames\live-1b7df07d370d\phone-972e98832d2d.jpg,low-conf,0.196,"10.92,158.21,382.20,691.04",0 0.426379 0.414673 0.805382 0.520339,-2.8033,1.0275,1.0197,-2.5426,-13.5711,19.0063
