image,color,water,style,theme,text,class_name,x_center,y_center,width,height,batch_id
D:\jade\samples\bangle_001.jpg,阳绿,冰种,手镯,,阳绿冰种手镯,jade_bangle,0.5,0.5,0.9,0.9,jade-template-batch
D:\jade\samples\beads_001.jpg,飘花,糯冰,珠串,,飘花糯冰珠串,jade_beads,0.5,0.5,0.9,0.9,jade-template-batch
D:\jade\samples\pendant_buddha_001.jpg,白冰,高冰,吊坠,佛公,白冰高冰佛公吊坠,buddha,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\pendant_guanyin_001.jpg,晴水,冰种,吊坠,观音,晴水冰种观音吊坠,guanyin,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\plaque_landscape_001.jpg,蓝水,冰糯,牌子,山水,蓝水冰糯山水牌,landscape,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\ring_001.jpg,紫罗兰,细糯,戒指,,紫罗兰细糯戒指,jade_ring,0.5,0.5,0.75,0.75,jade-template-batch
D:\jade\samples\cabochon_001.jpg,阳绿,玻璃种,蛋面,,阳绿玻璃种蛋面,jade_cabochon,0.5,0.5,0.75,0.75,jade-template-batch
D:\jade\samples\pingan_001.jpg,白冰,冰种,平安扣,,白冰冰种平安扣,pingan_kou,0.5,0.5,0.8,0.8,jade-template-batch
D:\jade\samples\pixiu_001.jpg,黄翡,糯种,吊坠,貔貅,黄翡糯种貔貅吊坠,pixiu,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\gourd_001.jpg,晴水,糯冰,吊坠,葫芦,晴水糯冰葫芦吊坠,gourd,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\ornament_001.jpg,墨翠,糯种,摆件,,墨翠糯种摆件,jade_ornament,0.5,0.5,0.9,0.9,jade-template-batch
D:\jade\samples\caishen_001.jpg,红翡,糯冰,吊坠,财神,红翡糯冰财神吊坠,caishen,0.5,0.5,0.85,0.85,jade-template-batch
D:\jade\samples\dragon_001.jpg,蓝水,冰种,牌子,龙牌,蓝水冰种龙牌,dragon_plaque,0.5,0.5,0.85,0.85,jade-template-batch
