id,class_name,label,kind,manifest_values
0,jade_bangle,手镯,style,手镯;镯子;圆条;正圈;贵妃镯;平安镯
1,jade_beads,珠串,style,珠串;手串;珠子;珠链;项链
2,jade_cabochon,蛋面,style,蛋面;戒面;鸽子蛋;裸石
3,jade_pendant,吊坠,style,吊坠;挂件;坠子
4,jade_ring,戒指,style,戒指;戒托;戒圈
5,jade_plaque,牌子,style,牌子;无事牌;山水牌
6,pingan_kou,平安扣,style,平安扣;扣子;怀古
7,guanyin,观音,theme,观音;观世音
8,buddha,佛公,theme,佛公;弥勒佛;笑佛
9,ruyi,如意,theme,如意;如意头
10,leaf,叶子,theme,叶子;树叶;金枝玉叶
11,landscape,山水,theme,山水;山水牌
12,pixiu,貔貅,theme,貔貅;皮丘
13,gourd,葫芦,theme,葫芦;福禄
14,jade_ornament,摆件,style,摆件;把件;手把件
15,caishen,财神,theme,财神;关公;武财神
16,dragon_plaque,龙牌,theme,龙牌;龙纹;生肖龙
