epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.234,1.32903,3.39037,1.41553,0.79142,0.7,0.82785,0.52994,1.46131,1.85716,1.24575,0.00032,0.00032,0.00032
2,33.8983,0.88064,1.71672,0.99327,0.99259,1,0.995,0.85558,0.63519,0.94359,0.84996,0.000651833,0.000651833,0.000651833
3,50.4937,0.73553,1.18869,0.95635,0.85617,0.89316,0.95658,0.79614,0.68196,1.19288,0.9006,0.00097525,0.00097525,0.00097525
4,67.0313,0.65727,1.0079,0.94424,0.9822,1,0.995,0.85782,0.5209,0.85751,0.84307,0.00129025,0.00129025,0.00129025
5,83.5409,0.64183,0.93983,0.94325,0.99511,1,0.995,0.8961,0.52215,0.96471,0.85255,0.00159684,0.00159684,0.00159684
6,100.122,0.62741,0.90056,0.94626,1,0.9972,0.995,0.87495,0.52408,0.89328,0.90629,0.00187625,0.00187625,0.00187625
7,116.501,0.57064,0.81946,0.91567,0.95195,0.99091,0.98786,0.86571,0.49934,0.94979,0.92249,0.0018515,0.0018515,0.0018515
8,132.897,0.5374,0.74974,0.90647,0.93505,1,0.99024,0.91482,0.43991,0.95457,0.89279,0.00182675,0.00182675,0.00182675
9,149.195,0.48474,0.68483,0.88358,0.99415,1,0.995,0.93857,0.41681,0.77786,0.89398,0.001802,0.001802,0.001802
10,165.518,0.49554,0.68953,0.90818,0.99212,1,0.995,0.96125,0.37042,1.07886,0.86718,0.00177725,0.00177725,0.00177725
11,182.095,0.46084,0.62351,0.88535,0.99736,1,0.995,0.94337,0.34918,0.65281,0.8384,0.0017525,0.0017525,0.0017525
12,198.567,0.41701,0.5746,0.84064,0.99698,1,0.995,0.96,0.31509,0.62864,0.86145,0.00172775,0.00172775,0.00172775
13,215.159,0.39293,0.56985,0.86251,0.99291,1,0.995,0.98263,0.31778,0.63504,0.86419,0.001703,0.001703,0.001703
14,231.694,0.43224,0.56636,0.86938,0.99709,1,0.995,0.97247,0.28708,0.55813,0.83466,0.00167825,0.00167825,0.00167825
15,248.122,0.36965,0.51829,0.87615,0.99693,1,0.995,0.9542,0.30258,0.53592,0.83437,0.0016535,0.0016535,0.0016535
16,264.595,0.3614,0.50282,0.85744,0.99754,1,0.995,0.94575,0.31402,0.52777,0.83477,0.00162875,0.00162875,0.00162875
17,281.028,0.38435,0.49674,0.87325,0.99726,1,0.995,0.96307,0.26086,0.46909,0.81771,0.001604,0.001604,0.001604
18,297.555,0.39435,0.49084,0.87454,0.99747,1,0.995,0.95661,0.27054,0.44573,0.82193,0.00157925,0.00157925,0.00157925
19,314.177,0.35659,0.45577,0.85187,0.99752,1,0.995,0.95632,0.27898,0.45218,0.82525,0.0015545,0.0015545,0.0015545
20,330.735,0.36585,0.45161,0.85291,0.99577,1,0.995,0.96775,0.2469,0.50519,0.81836,0.00152975,0.00152975,0.00152975
21,347.182,0.37518,0.47201,0.86094,0.99565,1,0.995,0.95137,0.29536,0.43737,0.81758,0.001505,0.001505,0.001505
22,363.638,0.36885,0.43618,0.85804,0.99661,1,0.995,0.98172,0.28742,0.43059,0.81752,0.00148025,0.00148025,0.00148025
23,380.167,0.35918,0.43664,0.86398,0.99723,1,0.995,0.97983,0.26168,0.44152,0.8185,0.0014555,0.0014555,0.0014555
24,396.706,0.32468,0.43175,0.84951,0.99719,1,0.995,0.95991,0.27906,0.50753,0.83212,0.00143075,0.00143075,0.00143075
25,413.229,0.34462,0.39975,0.84166,0.9972,1,0.995,0.98775,0.22796,0.36469,0.81176,0.001406,0.001406,0.001406
26,429.917,0.31034,0.38114,0.81784,0.99734,1,0.995,0.98575,0.2378,0.38425,0.81378,0.00138125,0.00138125,0.00138125
27,446.405,0.3504,0.38254,0.86547,0.99746,1,0.995,0.98775,0.24386,0.3607,0.81813,0.0013565,0.0013565,0.0013565
28,462.834,0.32974,0.40202,0.84687,0.99736,1,0.995,0.95523,0.2613,0.3378,0.82135,0.00133175,0.00133175,0.00133175
29,479.293,0.34268,0.38728,0.86357,0.99742,1,0.995,0.9765,0.2279,0.35938,0.81164,0.001307,0.001307,0.001307
30,495.759,0.32543,0.35321,0.84434,0.99743,1,0.995,0.978,0.22573,0.36354,0.81296,0.00128225,0.00128225,0.00128225
31,512.086,0.33264,0.36404,0.85651,0.99738,1,0.995,0.97554,0.22148,0.31171,0.81356,0.0012575,0.0012575,0.0012575
32,528.454,0.31667,0.33987,0.84109,0.9974,1,0.995,0.98775,0.18474,0.32004,0.803,0.00123275,0.00123275,0.00123275
33,544.906,0.29228,0.32939,0.84136,0.99735,1,0.995,0.97609,0.22362,0.33406,0.81316,0.001208,0.001208,0.001208
34,561.197,0.30636,0.33325,0.85745,0.997,1,0.995,0.995,0.2113,0.32173,0.80664,0.00118325,0.00118325,0.00118325
35,577.599,0.31839,0.33621,0.86462,0.9972,1,0.995,0.982,0.20811,0.30281,0.80863,0.0011585,0.0011585,0.0011585
36,594.092,0.28705,0.32664,0.8321,0.9971,1,0.995,0.995,0.2121,0.29519,0.81264,0.00113375,0.00113375,0.00113375
37,610.544,0.27539,0.30703,0.83763,0.99719,1,0.995,0.995,0.22063,0.30047,0.81245,0.001109,0.001109,0.001109
38,626.786,0.25483,0.30535,0.82486,0.99745,1,0.995,0.995,0.21115,0.32352,0.80381,0.00108425,0.00108425,0.00108425
39,643.123,0.30769,0.3414,0.84471,0.99743,1,0.995,0.995,0.20136,0.30156,0.80206,0.0010595,0.0010595,0.0010595
40,659.389,0.27266,0.31409,0.84445,0.99739,1,0.995,0.98775,0.21783,0.28802,0.8077,0.00103475,0.00103475,0.00103475
41,675.822,0.28388,0.30989,0.84185,0.99742,1,0.995,0.995,0.19134,0.27365,0.80353,0.00101,0.00101,0.00101
42,692.268,0.27643,0.31184,0.84625,0.9974,1,0.995,0.995,0.1952,0.29935,0.80246,0.00098525,0.00098525,0.00098525
43,708.869,0.25678,0.28139,0.82611,0.99506,1,0.995,0.98825,0.18388,0.32626,0.80477,0.0009605,0.0009605,0.0009605
44,725.127,0.27372,0.3038,0.84161,0.99587,1,0.995,0.995,0.222,0.28111,0.80726,0.00093575,0.00093575,0.00093575
45,741.505,0.24106,0.28062,0.8093,0.99696,1,0.995,0.995,0.18596,0.29209,0.80809,0.000911,0.000911,0.000911
46,757.954,0.26364,0.29466,0.82566,0.99562,1,0.995,0.98825,0.18387,0.2892,0.80773,0.00088625,0.00088625,0.00088625
47,774.383,0.27781,0.2903,0.83454,0.99537,1,0.995,0.995,0.18766,0.28631,0.80996,0.0008615,0.0008615,0.0008615
48,790.885,0.25456,0.27515,0.81338,0.99601,1,0.995,0.995,0.16632,0.26332,0.80032,0.00083675,0.00083675,0.00083675
49,807.282,0.25303,0.29237,0.8227,0.99557,1,0.995,0.995,0.16582,0.26089,0.80324,0.000812,0.000812,0.000812
50,823.831,0.23869,0.27827,0.83109,0.99678,1,0.995,0.995,0.1572,0.24333,0.80105,0.00078725,0.00078725,0.00078725
51,840.242,0.24785,0.27353,0.84339,0.99745,1,0.995,0.9875,0.17738,0.24445,0.80228,0.0007625,0.0007625,0.0007625
52,856.599,0.23446,0.2525,0.81048,0.99746,1,0.995,0.995,0.16952,0.24469,0.79668,0.00073775,0.00073775,0.00073775
53,873.193,0.22876,0.26724,0.81825,0.99745,1,0.995,0.995,0.15824,0.24681,0.79265,0.000713,0.000713,0.000713
54,889.611,0.23112,0.26896,0.82436,0.99744,1,0.995,0.995,0.13804,0.22829,0.79144,0.00068825,0.00068825,0.00068825
55,905.974,0.24473,0.27436,0.83648,0.99744,1,0.995,0.995,0.13745,0.22486,0.79067,0.0006635,0.0006635,0.0006635
56,922.362,0.21252,0.24861,0.8083,0.9974,1,0.995,0.98875,0.15455,0.24134,0.79037,0.00063875,0.00063875,0.00063875
57,938.652,0.23837,0.26565,0.82171,0.99744,1,0.995,0.995,0.1546,0.24475,0.79414,0.000614,0.000614,0.000614
58,955.009,0.20853,0.24112,0.8193,0.99747,1,0.995,0.995,0.14959,0.23021,0.7939,0.00058925,0.00058925,0.00058925
59,971.479,0.22574,0.25084,0.81117,0.99746,1,0.995,0.995,0.12988,0.22051,0.79442,0.0005645,0.0005645,0.0005645
60,987.55,0.20555,0.25636,0.81884,0.99747,1,0.995,0.995,0.13534,0.20981,0.79387,0.00053975,0.00053975,0.00053975
61,1003.96,0.20008,0.23193,0.80262,0.99743,1,0.995,0.995,0.13654,0.22148,0.78985,0.000515,0.000515,0.000515
62,1020.37,0.22572,0.24857,0.8169,0.9974,1,0.995,0.995,0.12723,0.20622,0.78859,0.00049025,0.00049025,0.00049025
63,1036.74,0.2236,0.249,0.83993,0.99731,1,0.995,0.995,0.13487,0.20792,0.78863,0.0004655,0.0004655,0.0004655
64,1053.03,0.22738,0.24442,0.82166,0.99745,1,0.995,0.995,0.14042,0.21092,0.79192,0.00044075,0.00044075,0.00044075
65,1069.53,0.20635,0.22694,0.82534,0.99748,1,0.995,0.995,0.14905,0.21512,0.79051,0.000416,0.000416,0.000416
66,1085.91,0.20296,0.22626,0.78579,0.99751,1,0.995,0.995,0.1342,0.2186,0.78907,0.00039125,0.00039125,0.00039125
67,1102.25,0.19618,0.22132,0.80568,0.99747,1,0.995,0.995,0.12112,0.20148,0.78744,0.0003665,0.0003665,0.0003665
68,1119.83,0.23734,0.23814,0.84629,0.99748,1,0.995,0.995,0.11747,0.1971,0.78615,0.00034175,0.00034175,0.00034175
69,1143.25,0.19585,0.23031,0.82214,0.99753,1,0.995,0.995,0.11923,0.19844,0.78546,0.000317,0.000317,0.000317
70,1160.82,0.2165,0.22287,0.8391,0.99754,1,0.995,0.995,0.11427,0.19413,0.785,0.00029225,0.00029225,0.00029225
71,1191.98,0.14709,0.21579,0.76643,0.99752,1,0.995,0.995,0.12543,0.20893,0.78551,0.0002675,0.0002675,0.0002675
72,1223.03,0.13811,0.21467,0.78199,0.99749,1,0.995,0.995,0.13594,0.22508,0.78594,0.00024275,0.00024275,0.00024275
73,1253.56,0.12982,0.20306,0.75111,0.99747,1,0.995,0.995,0.11092,0.2061,0.78474,0.000218,0.000218,0.000218
74,1283.62,0.12922,0.18696,0.75647,0.99728,1,0.995,0.995,0.10571,0.20006,0.78516,0.00019325,0.00019325,0.00019325
75,1313.89,0.13001,0.20652,0.78185,0.99745,1,0.995,0.995,0.11481,0.19599,0.78561,0.0001685,0.0001685,0.0001685
76,1343.52,0.12892,0.21404,0.76432,0.99746,1,0.995,0.995,0.11126,0.19039,0.78637,0.00014375,0.00014375,0.00014375
77,1373.88,0.12552,0.18843,0.77002,0.9975,1,0.995,0.995,0.09963,0.19636,0.78572,0.000119,0.000119,0.000119
78,1404.08,0.11664,0.19195,0.74989,0.99753,1,0.995,0.995,0.09147,0.19462,0.78361,9.425e-05,9.425e-05,9.425e-05
79,1434.15,0.11191,0.17885,0.77852,0.99752,1,0.995,0.995,0.09088,0.18834,0.78222,6.95e-05,6.95e-05,6.95e-05
80,1463.83,0.11461,0.18047,0.7548,0.99753,1,0.995,0.995,0.09233,0.18612,0.78326,4.475e-05,4.475e-05,4.475e-05
