epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12872,0.33749,0.26947,0.89435,0.99832,1,0.995,0.9674,0.19774,0.20114,0.7726,0.00042,0.00042,0.00042
2,7.22613,0.34455,0.26707,0.89149,0.99471,1,0.995,0.97174,0.22857,0.22279,0.77364,0.000838715,0.000838715,0.000838715
3,9.45912,0.38503,0.29405,0.91455,0.98871,1,0.995,0.96172,0.24645,0.2256,0.77269,0.00123565,0.00123565,0.00123565
4,11.812,0.42204,0.32238,0.92856,0.9745,0.95546,0.99285,0.94047,0.36084,0.32977,0.81446,0.00161081,0.00161081,0.00161081
5,13.4717,0.42254,0.32471,0.90676,0.96386,1,0.995,0.94714,0.30257,0.30246,0.81566,0.001802,0.001802,0.001802
6,15.1628,0.41683,0.32421,0.91838,0.99792,1,0.995,0.94924,0.2912,0.26991,0.79475,0.0017525,0.0017525,0.0017525
7,17.4782,0.39653,0.30719,0.90972,0.99731,1,0.995,0.90809,0.39152,0.32373,0.82751,0.001703,0.001703,0.001703
8,19.4084,0.40962,0.3178,0.91533,0.99653,1,0.995,0.93505,0.30231,0.25754,0.79786,0.0016535,0.0016535,0.0016535
9,21.1746,0.42109,0.32297,0.92815,0.97431,1,0.99451,0.95495,0.29236,0.2599,0.794,0.001604,0.001604,0.001604
10,23.5179,0.41069,0.32811,0.92383,0.99852,1,0.995,0.95197,0.34938,0.24116,0.80939,0.0015545,0.0015545,0.0015545
11,25.2149,0.39743,0.31876,0.91738,0.99794,1,0.995,0.94384,0.26285,0.23386,0.79185,0.001505,0.001505,0.001505
12,26.9879,0.38185,0.30283,0.91388,0.97533,0.98834,0.99451,0.96446,0.25325,0.26458,0.79333,0.0014555,0.0014555,0.0014555
13,29.4448,0.37329,0.29715,0.92624,0.99216,1,0.995,0.96325,0.23739,0.25442,0.78251,0.001406,0.001406,0.001406
14,31.2291,0.36877,0.29983,0.90331,0.98775,1,0.995,0.94875,0.24302,0.26963,0.79161,0.0013565,0.0013565,0.0013565
15,33.0411,0.383,0.30486,0.91507,0.99467,1,0.995,0.95494,0.2596,0.2445,0.78649,0.001307,0.001307,0.001307
16,35.5691,0.36445,0.29688,0.89954,0.99848,1,0.995,0.95986,0.2534,0.21458,0.78613,0.0012575,0.0012575,0.0012575
17,37.3577,0.35926,0.28779,0.90198,0.99854,1,0.995,0.96056,0.24505,0.20122,0.77633,0.001208,0.001208,0.001208
18,39.0477,0.3656,0.28507,0.90259,0.99754,1,0.995,0.96833,0.26179,0.21855,0.77479,0.0011585,0.0011585,0.0011585
19,41.5476,0.37291,0.29044,0.89706,0.99257,1,0.995,0.96736,0.25304,0.24884,0.77783,0.001109,0.001109,0.001109
20,43.3515,0.35203,0.27524,0.88729,0.99812,1,0.995,0.97526,0.21751,0.22655,0.76988,0.0010595,0.0010595,0.0010595
21,45.0197,0.36888,0.27393,0.90492,0.99746,1,0.995,0.97883,0.23163,0.20761,0.77202,0.00101,0.00101,0.00101
22,47.2348,0.35083,0.26975,0.89707,0.99804,1,0.995,0.96769,0.23692,0.21021,0.77583,0.0009605,0.0009605,0.0009605
23,49.2708,0.36227,0.27611,0.90116,0.99728,1,0.995,0.96649,0.24262,0.20112,0.77306,0.000911,0.000911,0.000911
24,50.9305,0.32108,0.24973,0.88058,0.99646,1,0.995,0.96466,0.23585,0.19691,0.77408,0.0008615,0.0008615,0.0008615
25,52.6746,0.3002,0.23565,0.86793,0.99744,1,0.995,0.9729,0.20833,0.18808,0.7664,0.000812,0.000812,0.000812
26,55.1876,0.33209,0.25259,0.88776,0.99865,1,0.995,0.97333,0.21112,0.16889,0.7667,0.0007625,0.0007625,0.0007625
27,56.9119,0.31286,0.24443,0.89081,0.99854,1,0.995,0.96742,0.21796,0.1762,0.76807,0.000713,0.000713,0.000713
28,58.6775,0.31467,0.24821,0.88054,0.99862,1,0.995,0.96787,0.20725,0.1679,0.76723,0.0006635,0.0006635,0.0006635
29,60.4808,0.31064,0.24099,0.8822,0.99789,1,0.995,0.97382,0.1852,0.15887,0.76448,0.000614,0.000614,0.000614
30,62.1831,0.2975,0.23622,0.87703,0.99861,1,0.995,0.96583,0.20603,0.16811,0.76542,0.0005645,0.0005645,0.0005645
31,79.3318,0.23365,0.19792,0.80043,0.99862,1,0.995,0.96903,0.19804,0.15707,0.7667,0.000515,0.000515,0.000515
32,82.4017,0.24692,0.19964,0.813,0.99856,1,0.995,0.9731,0.18458,0.16221,0.76334,0.0004655,0.0004655,0.0004655
33,85.2172,0.2341,0.19178,0.79648,0.99865,1,0.995,0.9751,0.19352,0.16496,0.76678,0.000416,0.000416,0.000416
34,88.0756,0.23305,0.19023,0.80907,0.99867,1,0.995,0.97129,0.19498,0.15875,0.76912,0.0003665,0.0003665,0.0003665
35,90.9967,0.22898,0.18744,0.8036,0.99852,1,0.995,0.97349,0.18118,0.15579,0.76452,0.000317,0.000317,0.000317
36,93.8369,0.22313,0.18516,0.81265,0.99845,1,0.995,0.97027,0.18981,0.15553,0.76879,0.0002675,0.0002675,0.0002675
