epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.73162,0.69707,0.90134,1.13134,0.97835,0.75,0.91167,0.76217,0.93795,0.8089,1.51576,4e-05,4e-05,4e-05
2,5.33713,0.59768,0.737,1.06934,0.98872,1,0.995,0.85775,0.76236,0.6938,1.27302,9.7525e-05,9.7525e-05,9.7525e-05
3,7.87117,0.36798,0.49183,0.92907,0.98733,1,0.995,0.995,0.42074,0.64947,0.96976,0.00015208,0.00015208,0.00015208
4,10.4183,0.37586,0.47015,0.97248,0.98889,1,0.995,0.995,0.34932,0.55575,0.93709,0.000203665,0.000203665,0.000203665
5,12.8542,0.34465,0.45194,0.98149,0.98911,1,0.995,0.995,0.29506,0.5492,0.91768,0.00025228,0.00025228,0.00025228
6,15.3608,0.29696,0.4622,0.93307,0.98937,1,0.995,0.995,0.25967,0.4323,0.90321,0.000297925,0.000297925,0.000297925
7,17.7933,0.28888,0.36861,0.8876,0.98935,1,0.995,0.995,0.26963,0.44011,0.89665,0.0003406,0.0003406,0.0003406
8,20.2816,0.35837,0.43899,0.96081,0.98926,1,0.995,0.995,0.27552,0.43233,0.89434,0.000380305,0.000380305,0.000380305
9,22.7894,0.40842,0.47154,0.95879,0.98902,1,0.995,0.995,0.23579,0.39162,0.88889,0.00041704,0.00041704,0.00041704
10,25.2671,0.27658,0.37095,0.8911,0.98927,1,0.995,0.995,0.22601,0.35022,0.88582,0.000450805,0.000450805,0.000450805
11,27.7921,0.28382,0.40327,0.89532,0.98934,1,0.995,0.995,0.25385,0.34479,0.8883,0.0004816,0.0004816,0.0004816
12,30.3403,0.28505,0.36998,0.90672,0.9893,1,0.995,0.995,0.2735,0.35277,0.88958,0.000509425,0.000509425,0.000509425
13,32.8565,0.35287,0.41884,0.99208,0.98953,1,0.995,0.995,0.23236,0.35879,0.87551,0.00053428,0.00053428,0.00053428
14,35.4308,0.30431,0.39915,0.95311,0.98941,1,0.995,0.995,0.22895,0.36373,0.86775,0.000556165,0.000556165,0.000556165
15,37.8937,0.26096,0.33772,0.89765,0.98941,1,0.995,0.995,0.22895,0.36373,0.86775,0.00057508,0.00057508,0.00057508
16,40.6013,0.26152,0.32887,0.90019,0.98936,1,0.995,0.995,0.24839,0.39703,0.8667,0.000591025,0.000591025,0.000591025
17,43.5172,0.24905,0.32698,0.86367,0.98912,1,0.995,0.995,0.24356,0.3921,0.86388,0.000604,0.000604,0.000604
18,46.3141,0.26913,0.38874,0.89411,0.98912,1,0.995,0.995,0.24356,0.3921,0.86388,0.000614005,0.000614005,0.000614005
19,49.1306,0.41621,0.45822,1.05303,0.9895,1,0.995,0.995,0.18714,0.37427,0.85439,0.00062104,0.00062104,0.00062104
20,51.8743,0.30165,0.35031,0.86144,0.9896,1,0.995,0.995,0.17634,0.37901,0.85095,0.000625105,0.000625105,0.000625105
21,54.5526,0.24804,0.3321,0.89232,0.9896,1,0.995,0.995,0.17634,0.37901,0.85095,0.0006262,0.0006262,0.0006262
22,57.3158,0.28161,0.41662,0.91372,0.98944,1,0.995,0.995,0.16312,0.35555,0.84407,0.000624325,0.000624325,0.000624325
23,59.8626,0.24769,0.33822,0.90093,0.98944,1,0.995,0.995,0.16312,0.35555,0.84407,0.00061948,0.00061948,0.00061948
24,62.7145,0.25132,0.3321,0.90517,0.98957,1,0.995,0.995,0.14999,0.34031,0.83923,0.000611665,0.000611665,0.000611665
25,65.5383,0.24988,0.35892,0.88404,0.98957,1,0.995,0.995,0.14999,0.34031,0.83923,0.00060088,0.00060088,0.00060088
26,68.3515,0.27163,0.32638,0.86464,0.98945,1,0.995,0.995,0.15296,0.36061,0.8374,0.000587125,0.000587125,0.000587125
27,71.1388,0.35613,0.41283,0.98133,0.98945,1,0.995,0.995,0.15296,0.36061,0.8374,0.0005704,0.0005704,0.0005704
28,73.96,0.26959,0.35122,0.89317,0.98941,1,0.995,0.995,0.16575,0.354,0.83661,0.000550705,0.000550705,0.000550705
29,76.6506,0.27451,0.30663,0.88014,0.98941,1,0.995,0.995,0.16575,0.354,0.83661,0.00052804,0.00052804,0.00052804
30,79.4654,0.30059,0.33862,0.93505,0.98941,1,0.995,0.995,0.16575,0.354,0.83661,0.000502405,0.000502405,0.000502405
31,82.2968,0.2103,0.32868,0.81463,0.98953,1,0.995,0.995,0.16094,0.33858,0.83385,0.0004738,0.0004738,0.0004738
32,85.0234,0.20011,0.32063,0.78069,0.98953,1,0.995,0.995,0.16094,0.33858,0.83385,0.000442225,0.000442225,0.000442225
33,87.8219,0.21341,0.33249,0.78328,0.98968,1,0.995,0.995,0.14739,0.32497,0.83237,0.00040768,0.00040768,0.00040768
34,90.2208,0.20499,0.30055,0.7952,0.98968,1,0.995,0.995,0.14739,0.32497,0.83237,0.0003665,0.0003665,0.0003665
35,92.6563,0.20077,0.33674,0.79752,0.98968,1,0.995,0.995,0.14739,0.32497,0.83237,0.000317,0.000317,0.000317
36,96.5524,0.1862,0.30861,0.82471,0.98958,1,0.995,0.995,0.13007,0.31058,0.83114,0.0002675,0.0002675,0.0002675
37,101.223,0.19745,0.27559,0.77679,0.98958,1,0.995,0.995,0.13007,0.31058,0.83114,0.000218,0.000218,0.000218
38,105.921,0.18285,0.28057,0.75001,0.98958,1,0.995,0.995,0.13007,0.31058,0.83114,0.0001685,0.0001685,0.0001685
39,110.709,0.1982,0.33659,0.79083,0.98973,1,0.995,0.995,0.11826,0.29113,0.8306,0.000119,0.000119,0.000119
40,115.441,0.20091,0.32157,0.83956,0.98973,1,0.995,0.995,0.11826,0.29113,0.8306,6.95e-05,6.95e-05,6.95e-05
